name,city,region,distance_km,bus_time,latitude,longitude,address,type,stars,website,coordinates_valid
Elbhus Hamburg,,Niedersachsen,10.96,10m,53.4611052,10.0511024,,hotel,,,Yes
Hotel Krupunder Park,Rellingen,Schleswig-Holstein,11.09,11m,53.6254696,9.8764792,"Altonaer Straße, 325, 25462, Rellingen",hotel,,,Yes
Pampilo,,Schleswig-Holstein,11.38,11m,53.5414996,10.163539,,guest_house,,https://gasthaus-pampilo.de/,Yes
my-bed.eu Appartements,Barsbüttel,Schleswig-Holstein,12.14,12m,53.5690718,10.1742378,"Willinghusener Landstraße, 13, 22885, Barsbüttel",guest_house,,https://wohnen-mybed.eu/,Yes
Hotel Klövensteen,Schenefeld,Schleswig-Holstein,12.8,12m,53.6031489,9.8175932,"Hauptstraße, 83, 22869, Schenefeld",hotel,,https://www.hotel-kloevensteen.de/,Yes
Attika,Halstenbek,Schleswig-Holstein,13.66,13m,53.6380131,9.8424927,"Bäckerstraße, 3, 25469, Halstenbek",hotel,,https://attika-hotel.de/,Yes
Heinsens-Ellerbek Inn,Ellerbek,Schleswig-Holstein,14.14,14m,53.6575717,9.869745,"Hauptstraße, 1, 25474, Ellerbek",hotel,,https://www.heinsens.de/,Yes
Hotel Stadt Norderstedt,,Schleswig-Holstein,14.85,14m,53.6844829,10.0342462,,hotel,3,,Yes
Entrée Hotel Glinde,Glinde,Schleswig-Holstein,14.95,14m,53.549118,10.2186298,"Am Sportplatz, 98b, 21509, Glinde",hotel,,,Yes
Rellinger Hof,Rellingen,Schleswig-Holstein,15.14,15m,53.6493337,9.8297804,"Hauptstraße, 31, 25462, Rellingen",hotel,,http://www.rellinger-hof.de,Yes
Hotel Garni Maromme ***,Norderstedt,Schleswig-Holstein,15.31,15m,53.6909394,9.9944104,"Marommer Straße, 58, 22850, Norderstedt",hotel,3,https://www.hotel-maromme.de/,Yes
Hotel Kampe ***,Norderstedt,Schleswig-Holstein,15.33,15m,53.6911256,9.9948363,"Marommer Straße, 60-62, 22850, Norderstedt",hotel,3,https://www.hotel-kampe.de/,Yes
Hotel A24,Glinde,Schleswig-Holstein,15.42,15m,53.5284448,10.2219822,"Wilhelm-Bergner-Straße, 17, 21509, Glinde",hotel,,,Yes
Thesdorfer Hof,,Schleswig-Holstein,15.56,15m,53.647477,9.818024,,hotel,,,Yes
Hotel Cordes,Rosengarten,Niedersachsen,15.69,15m,53.4240379,9.8973702,"Sottorfer Dorfstraße, 2, 21224, Rosengarten",hotel,3,,Yes
Stapelfelder Hof Christos Restaurant und Hotel,,Schleswig-Holstein,16.11,16m,53.6052684,10.2202047,,hotel,,https://restaurant-christos.de/,Yes
Rosengarten,,Niedersachsen,16.2,16m,53.4116384,9.9354889,,guest_house,,,Yes
puna pineberg,,Schleswig-Holstein,16.47,16m,53.646038,9.7977208,,guest_house,,,Yes
Hotel Quellental,Pinneberg,Schleswig-Holstein,16.76,16m,53.6515081,9.7997101,"Rethwiese, 2, 25421, Pinneberg",hotel,,,Yes
Hotel Cap Polonio,Pinneberg,Schleswig-Holstein,16.88,16m,53.6578358,9.8067985,"Fahltskamp, 48, 25421, Pinneberg",hotel,,http://www.cap-polonio.de,Yes
Pension Haidhus,Reinbek,Schleswig-Holstein,17.02,17m,53.5523021,10.2499837,"Möllner Landstraße, 10-12, 21465, Reinbek",guest_house,,https://www.haidhus.de/,Yes
"Pension Haidhus, Neubau",,Schleswig-Holstein,17.02,17m,53.5518299,10.2500054,,guest_house,,,Yes
Hotel Kreuzer,,Schleswig-Holstein,17.2,17m,53.5855252,9.7376576,,hotel,3,https://www.hotel-kreuzer.de/,Yes
Kleiner Rasthof,Reinbek,Schleswig-Holstein,17.31,17m,53.5308414,10.2516,"Dorfstraße, 36, 21465, Reinbek",guest_house,,,Yes
Höft,,Niedersachsen,17.5,17m,53.5212291,9.7330737,,guest_house,,,Yes
M & M Hotels Pension,,Niedersachsen,17.51,17m,53.4612425,9.7775645,,hotel,,,Yes
Lindemann,Jork,Niedersachsen,17.61,17m,53.5200045,9.731855,"Groß Hove, 10, 21635, Jork",guest_house,,http://www.obsthof-lindemann.de,Yes
Pension Fenster zum Rosenplatz,Reinbek,Schleswig-Holstein,17.67,17m,53.5122283,10.2506776,"Am Rosenplatz, 9, 21465, Reinbek",guest_house,,https://www.fensterzumrosenplatz.de/,Yes
Sachsenwald Hotel Reinbek,Reinbek,Schleswig-Holstein,17.7,17m,53.5109238,10.2505457,"Hamburger Straße, 4-8, 21465, Reinbek",hotel,,https://www.sachsenwaldhotel.de/,Yes
Nordic Hotel,Norderstedt,Schleswig-Holstein,17.88,17m,53.7140656,9.9993449,"Ulzburger Straße, 389, 22846, Norderstedt",hotel,3,,Yes
Hotel Maack,,Niedersachsen,18.24,18m,53.3912615,10.0351497,,hotel,,,Yes
Zur Wulfsmühle,Tangstedt,Schleswig-Holstein,18.36,18m,53.6954432,9.8507975,"Mühlenstraße, 95, 25499, Tangstedt",hotel,,,Yes
Maximo,Pinneberg,Schleswig-Holstein,18.39,18m,53.6751849,9.8038752,"Haderslebener Straße, 5, 25421, Pinneberg",hotel,,https://hotel-pinneberg.net/,Yes
Altes Landhaus,,Schleswig-Holstein,18.53,18m,53.6575486,10.2114207,,hotel,,https://hotel-altes-landhaus.de/de/44199-Restaurant,Yes
Meyers Hotel,Seevetal,Niedersachsen,18.59,18m,53.3862363,9.9830699,"Hittfelder Twiete, 1, 21218, Seevetal",hotel,,,Yes
Waldhuuske,Rosengarten,Niedersachsen,18.67,18m,53.4064112,9.8556908,"Rosengartenstraße, 2, 21224, Rosengarten",guest_house,,https://www.waldhuuske.de/,Yes
Hotel Krohwinkel,,Niedersachsen,18.68,18m,53.3854006,9.9812226,,hotel,,https://www.krohwinkel.de/,Yes
Hotel Zur Linde,,Niedersachsen,18.92,18m,53.3833315,9.980861,,hotel,,,Yes
Niemann's Gasthof,Reinbek,Schleswig-Holstein,19.09,19m,53.5296237,10.2785047,"5, 21465, Reinbek",hotel,,https://www.niemanns-gasthof.de/,Yes
Naturfreundehaus Maschen Johann-Simonis-Haus,Seevetal,Niedersachsen,19.29,19m,53.3843474,10.0584676,"Rahlande, 32-40, 21220, Seevetal",hostel,,,Yes
Senator Marina,Wedel,Schleswig-Holstein,19.39,19m,53.571624,9.7003944,"Hafenstraße, 28, 22880, Wedel",hotel,,,Yes
Hotel Diamant,Wedel,Schleswig-Holstein,19.56,19m,53.5821801,9.7002708,"Schulstraße, 2-4, 22880, Wedel",hotel,3,https://hoteldiamant.de/,Yes
